id,Height (inches),height_app_cm,Diameter (inches),diam_app_cm,User,phone,diam_tape,height_tape
1,253.98,645.1092,7.9,20.066,Corbin,a50,25.46797399,606.552
2,421.94,1071.7276,13.26,33.6804,Corbin,a50,37.99983421,1356.36
3,410.3,1042.162,32.05,81.407,Corbin,a50,40.8296091,1459.992
4,136.76,347.3704,4.93,12.5222,Corbin,a50,15.76588866,445.008
5,176.76,448.9704,7.9,20.066,Corbin,a50,19.16161853,758.952
6,129.65,329.311,4.78,12.1412,Alex,a50,14.63397871,377.952
7,161.31,409.7274,4.69,11.9126,Alex,a50,14.63397871,399.288
8,172.71,438.6834,7.44,18.8976,Alex,a50,18.67651426,448.056
9,317.82,807.2628,14.25,36.195,Alex,a50,32.90623941,691.896
10,159.82,405.9428,5.39,13.6906,Alex,a50,15.36163511,393.192
11,195.07,495.4778,4.5,11.43,Leif,a50,12.12760666,402.336
12,411.5,1045.21,8.09,20.5486,Leif,a50,23.44670622,652.272
13,320.88,815.0352,7.56,19.2024,Leif,a50,22.47649768,679.704
14,376.14,955.3956,10.45,26.543,Leif,a50,30.88497164,710.184
15,261.5,664.21,9.41,23.9014,Leif,a50,23.04245266,585.216
16,297.43,755.4722,9.32,23.6728,Corbin,a50,28.13604746,832.104
17,170.23,432.3842,6.4,16.256,Corbin,a50,17.4637536,533.4
18,373.99,949.9346,10.54,26.7716,Corbin,a50,28.70200244,899.16
19,285.18,724.3572,8.66,21.9964,Corbin,a50,31.53177733,542.544
20,96.27,244.5258,1.57,3.9878,Corbin,a50,3.557431288,228.6
21,321.78,817.3212,6.9,17.526,Alex,a50,17.62545502,667.512
22,344.96,876.1984,7.03,17.8562,Alex,a50,14.63397871,563.88
23,338.79,860.5266,6.29,15.9766,Alex,a50,16.25099293,694.944
24,416.69,1058.3926,5.94,15.0876,Alex,a50,19.56587208,664.464
25,376.16,955.4464,5.31,13.4874,Alex,a50,17.38290288,981.456
26,328.39,834.1106,6.76,17.1704,Alex,a50,20.29352848,883.92
27,197.67,502.0818,5.22,13.2588,Leif,a50,12.12760666,405.384
28,257.75,654.685,6.67,16.9418,Leif,a50,12.61271093,496.824
29,369.26,937.9204,8.28,21.0312,Leif,a50,18.67651426,649.224
30,302.98,769.5692,5.88,14.9352,Leif,a50,20.29352848,853.44
31,117.22,297.7388,4.78,12.1412,Corbin,a50,17.05950004,362.712
32,139.77,355.0158,5.34,13.5636,Corbin,a50,16.08929151,396.24
33,305.77,776.6558,11.46,29.1084,Corbin,a50,32.90623941,905.256
34,431.69,1096.4926,12.05,30.607,Corbin,a50,34.36155221,926.592
35,267.34,679.0436,6.8,17.272,Corbin,a50,18.19141,566.928
36,169.61,430.8094,5.39,13.6906,Alex,a50,12.69356164,338.328
37,164.95,418.973,7.81,19.8374,Alex,a50,16.57439577,420.624
38,143.68,364.9472,7.48,18.9992,Alex,a50,15.44248582,432.816
39,130.82,332.2828,5.79,14.7066,Alex,a50,13.8254716,463.296
40a,507.94,1290.1676,30.28,76.9112,Alex,a50,74.46350491,1170.432
40b,473.56,1202.8424,22.83,57.9882,Alex,a50,60.79973474,1170.432
41,354.19,899.6426,9.47,24.0538,Leif,a50,34.03814937,758.952
42a,287.99,731.4946,13.99,35.5346,Leif,a50,21.42543844,643.128
42b,307.79,781.7866,15.81,40.1574,Leif,a50,29.99561381,783.336
43,276.91,703.3514,5.74,14.5796,Leif,a50,18.59566355,734.568
44,450.27,1143.6858,12.6,32.004,Leif,a50,31.3700759,917.448
45,446.36,1133.7544,8.51,21.6154,Leif,a50,22.79990053,847.344
46,478.74,1215.9996,20.97,53.2638,Leif,a50,25.46797399,691.896
47a,396.29,1006.5766,16.33,41.4782,Corbin,a50,37.11047639,868.68
47b,412.58,1047.9532,22.12,56.1848,Corbin,a50,44.4678911,868.68
47c,457.35,1161.669,11.62,29.5148,Corbin,a50,36.38281999,868.68
47d,495.11,1257.5794,30.18,76.6572,Corbin,a50,45.43809963,868.68
1,298.43,758.0122,12.99,32.9946,Aakash,pixel,25.46797399,606.552
2,746.54,1896.2116,14.53,36.9062,Aakash,pixel,37.99983421,1356.36
3,727.36,1847.4944,20.31,51.5874,Aakash,pixel,40.8296091,1459.992
4,180.74,459.0796,5.68,14.4272,Aakash,pixel,15.76588866,445.008
5,344.78,875.7412,6.41,16.2814,Aakash,pixel,19.16161853,758.952
6,167.15,424.561,5.31,13.4874,Leif,pixel,14.63397871,377.952
7,187.01,475.0054,6.91,17.5514,Leif,pixel,14.63397871,399.288
8,245.58,623.7732,5.51,13.9954,Leif,pixel,18.67651426,448.056
9,401.59,1020.0386,13.25,33.655,Leif,pixel,32.90623941,691.896
10,246.23,625.4242,5.11,12.9794,Leif,pixel,15.36163511,393.192
11,159.77,405.8158,5.42,13.7668,Corbin,pixel,12.12760666,402.336
12,292.26,742.3404,6.43,16.3322,Corbin,pixel,23.44670622,652.272
13,244.15,620.141,8.49,21.5646,Corbin,pixel,22.47649768,679.704
14,281.03,713.8162,10.6,26.924,Corbin,pixel,30.88497164,710.184
15,277.09,703.8086,10.04,25.5016,Corbin,pixel,23.04245266,585.216
16,336.08,853.6432,10.39,26.3906,Alex,pixel,28.13604746,832.104
17,208.86,530.5044,6.56,16.6624,Alex,pixel,17.4637536,533.4
18,441.97,1122.6038,10.73,27.2542,Alex,pixel,28.70200244,899.16
19,281.01,713.7654,11.87,30.1498,Alex,pixel,31.53177733,542.544
20,104.34,265.0236,3.19,8.1026,Alex,pixel,3.557431288,228.6
21,462.74,1175.3596,5.98,15.1892,Leif,pixel,17.62545502,667.512
22,480.46,1220.3684,6.44,16.3576,Leif,pixel,14.63397871,563.88
23,329.78,837.6412,6.26,15.9004,Leif,pixel,16.25099293,694.944
24,628.62,1596.6948,5.47,13.8938,Leif,pixel,19.56587208,664.464
25,406.5,1032.51,5.87,14.9098,Leif,pixel,17.38290288,981.456
26,398.92,1013.2568,6.89,17.5006,Leif,pixel,20.29352848,883.92
27,192.63,489.2802,3.98,10.1092,Corbin,pixel,12.12760666,405.384
28,167.78,426.1612,5.44,13.8176,Corbin,pixel,12.61271093,496.824
29,310.57,788.8478,7.45,18.923,Corbin,pixel,18.67651426,649.224
30,223.08,566.6232,7.04,17.8816,Corbin,pixel,20.29352848,853.44
31,155.13,394.0302,6.04,15.3416,Alex,pixel,17.05950004,362.712
32,167.25,424.815,5.52,14.0208,Alex,pixel,16.08929151,396.24
33,445.64,1131.9256,11.74,29.8196,Alex,pixel,32.90623941,905.256
34,428.04,1087.2216,12.34,31.3436,Alex,pixel,34.36155221,926.592
35,220.72,560.6288,6.03,15.3162,Alex,pixel,18.19141,566.928
36,206.54,524.6116,5.52,14.0208,Leif,pixel,12.69356164,338.328
37,219.22,556.8188,6.01,15.2654,Leif,pixel,16.57439577,420.624
38,238.48,605.7392,5.22,13.2588,Leif,pixel,15.44248582,432.816
39,244.95,622.173,4.91,12.4714,Leif,pixel,13.8254716,463.296
40a,877.41,2228.6214,24.66,62.6364,Leif,pixel,74.46350491,1170.432
40b,437.86,1112.1644,30.4,77.216,Leif,pixel,60.79973474,1170.432
41,207.37,526.7198,11.49,29.1846,Corbin,pixel,34.03814937,758.952
42a,301.42,765.6068,6.61,16.7894,Corbin,pixel,21.42543844,643.128
42b,272.99,693.3946,12.57,31.9278,Corbin,pixel,29.99561381,783.336
43,298.83,759.0282,6.26,15.9004,Corbin,pixel,18.59566355,734.568
44,398.89,1013.1806,10.53,26.7462,Corbin,pixel,31.3700759,917.448
45,378.4,961.136,8.23,20.9042,Corbin,pixel,22.79990053,847.344
46,348.35,884.809,9.04,22.9616,Corbin,pixel,25.46797399,691.896
47a,380.94,967.5876,16.81,42.6974,Alex,pixel,37.11047639,868.68
47b,388.2,986.028,21.92,55.6768,Alex,pixel,44.4678911,868.68
47c,397.91,1010.6914,14.2,36.068,Alex,pixel,36.38281999,868.68
47d,398.69,1012.6726,28.84,73.2536,Alex,pixel,45.43809963,868.68
1,293.01,744.2454,10.31,26.1874,Leif,iphone,25.46797399,606.552
2,675.66,1716.1764,14.57,37.0078,Leif,iphone,37.99983421,1356.36
3,777.5,1974.85,14.09,35.7886,Leif,iphone,40.8296091,1459.992
4,198.44,504.0376,6.28,15.9512,Leif,iphone,15.76588866,445.008
5,337.08,856.1832,8.1,20.574,Leif,iphone,19.16161853,758.952
6,109.33,277.6982,7.01,17.8054,Corbin,iphone,14.63397871,377.952
7,163.96,416.4584,7.1,18.034,Corbin,iphone,14.63397871,399.288
8,168.77,428.6758,6.84,17.3736,Corbin,iphone,18.67651426,448.056
9,346.05,878.967,12.17,30.9118,Corbin,iphone,32.90623941,691.896
10,161.69,410.6926,6.19,15.7226,Corbin,iphone,15.36163511,393.192
11,177.91,451.8914,4.75,12.065,Alex,iphone,12.12760666,402.336
12,341.97,868.6038,12.57,31.9278,Alex,iphone,23.44670622,652.272
13,317.83,807.2882,9.46,24.0284,Alex,iphone,22.47649768,679.704
14,302.86,769.2644,11.3,28.702,Alex,iphone,30.88497164,710.184
15,271.81,690.3974,9.89,25.1206,Alex,iphone,23.04245266,585.216
16,408.62,1037.8948,9.58,24.3332,Leif,iphone,28.13604746,832.104
17,298.09,757.1486,6.31,16.0274,Leif,iphone,17.4637536,533.4
18,481.4,1222.756,10.11,25.6794,Leif,iphone,28.70200244,899.16
19,312.2,792.988,11.55,29.337,Leif,iphone,31.53177733,542.544
20,102.54,260.4516,1.68,4.2672,Leif,iphone,3.557431288,228.6
21,324.04,823.0616,5.93,15.0622,Corbin,iphone,17.62545502,667.512
22,341.17,866.5718,5.2,13.208,Corbin,iphone,14.63397871,563.88
23,359.67,913.5618,5.35,13.589,Corbin,iphone,16.25099293,694.944
24,445.65,1131.951,7.89,20.0406,Corbin,iphone,19.56587208,664.464
25,369.38,938.2252,5.74,14.5796,Corbin,iphone,17.38290288,981.456
26,365.81,929.1574,7.4,18.796,Corbin,iphone,20.29352848,883.92
27,145.7,370.078,6.2,15.748,Alex,iphone,12.12760666,405.384
28,176.02,447.0908,6.1,15.494,Alex,iphone,12.61271093,496.824
29,235.8,598.932,7.28,18.4912,Alex,iphone,18.67651426,649.224
30,262.26,666.1404,7.51,19.0754,Alex,iphone,20.29352848,853.44
31,192.29,488.4166,6.32,16.0528,Leif,iphone,17.05950004,362.712
32,176.95,449.453,6.52,16.5608,Leif,iphone,16.08929151,396.24
33,486.87,1236.6498,11.28,28.6512,Leif,iphone,32.90623941,905.256
34,469.91,1193.5714,13.24,33.6296,Leif,iphone,34.36155221,926.592
35,295.38,750.2652,6.36,16.1544,Leif,iphone,18.19141,566.928
36,146.22,371.3988,4.4,11.176,Corbin,iphone,12.69356164,338.328
37,136.83,347.5482,6.34,16.1036,Corbin,iphone,16.57439577,420.624
38,142.54,362.0516,5.35,13.589,Corbin,iphone,15.44248582,432.816
39,136.51,346.7354,4.87,12.3698,Corbin,iphone,13.8254716,463.296
40a,507,1287.78,30.31,76.9874,Corbin,iphone,74.46350491,1170.432
40b,388.43,986.6122,25.05,63.627,Corbin,iphone,60.79973474,1170.432
41,327.67,832.2818,13.13,33.3502,Alex,iphone,34.03814937,758.952
42a,310.97,789.8638,7.58,19.2532,Alex,iphone,21.42543844,643.128
42b,320.85,814.959,12.21,31.0134,Alex,iphone,29.99561381,783.336
43,287.15,729.361,7.04,17.8816,Alex,iphone,18.59566355,734.568
44,340.67,865.3018,13.01,33.0454,Alex,iphone,31.3700759,917.448
45,378.61,961.6694,9.47,24.0538,Alex,iphone,22.79990053,847.344
46,337.86,858.1644,9.86,25.0444,Alex,iphone,25.46797399,691.896
47a,433.65,1101.471,13.74,34.8996,Leif,iphone,37.11047639,868.68
47b,459.49,1167.1046,16.66,42.3164,Leif,iphone,44.4678911,868.68
47c,427.69,1086.3326,14.78,37.5412,Leif,iphone,36.38281999,868.68
47d,520.38,1321.7652,18.14,46.0756,Leif,iphone,45.43809963,868.68